x1,x2,x3,x4,x5
0.707106781186554 + 0.0im,-1.8151629649127582e-18 + 0.0im,-0.5000000000000001 + 0.0im,-0.5000000000000001 + 0.0im,0.0 + 0.0im
-1.8151629649127582e-18 + 0.0im,0.7071067811865498 + 0.0im,-0.5000000000000001 + 0.0im,0.5000000000000001 + 0.0im,0.0 + 0.0im
-0.5000000000000001 + 0.0im,-0.5000000000000001 + 0.0im,0.7071067811865577 + 0.0im,1.4210070717263953e-18 + 0.0im,0.0 + 0.0im
-0.5000000000000001 + 0.0im,0.5000000000000001 + 0.0im,1.4210070717263953e-18 + 0.0im,0.7071067811865506 + 0.0im,0.0 + 0.0im
0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,0.0 + 0.0im,-6.2004441036858495e-15 + 0.0im
